country,c_id,year,gdp,sp,rd,tfp
United States,United States,1953,14.346121,,9.9898615,-.49857044
United States,United States,1954,14.339531,,10.095022,-.49760127
United States,United States,1955,14.407802,,10.160375,-.46408641
United States,United States,1956,14.427152,,10.476884,-.46958065
United States,United States,1957,14.445751,,10.599135,-.45233011
United States,United States,1958,14.435596,,10.673423,-.44955528
United States,United States,1959,14.507187,,10.79104,-.4080987
United States,United States,1960,14.531753,,10.863889,-.40237415
United States,United States,1961,14.554776,,10.884459,-.38510942
United States,United States,1962,14.613347,,10.936223,-.35355771
United States,United States,1963,14.655683,,11.026441,-.33462989
United States,United States,1964,14.711972,,11.077166,-.30422139
United States,United States,1965,14.773824,,11.115913,-.27292538
United States,United States,1966,14.837273,,11.183511,-.23938751
United States,United States,1967,14.861969,,11.204487,-.23459697
United States,United States,1968,14.908467,,11.226366,-.20963669
United States,United States,1969,14.939309,,11.225989,-.206357
United States,United States,1970,14.941057,,11.160442,-.2081151
United States,United States,1971,14.971796,,11.124166,-.18344498
United States,United States,1972,15.023441,,11.145674,-.16097927
United States,United States,1973,15.078683,,11.17836,-.13981915
United States,United States,1974,15.07588,,11.16383,-.15727758
United States,United States,1975,15.07307,,11.128721,-.15233636
United States,United States,1976,15.124158,,11.182156,-.12875962
United States,United States,1977,15.168463,,11.222321,-.11705542
United States,United States,1978,15.223945,,11.264569,-.098099709
United States,United States,1979,15.257393,,11.325208,-.093853474
United States,United States,1980,15.257845,-13.656862,11.392749,-.10391498
United States,United States,1981,15.282495,-13.853531,11.45746,-.091387033
United States,United States,1982,15.263575,-13.78236,11.522763,-.11230826
United States,United States,1983,15.304616,-13.676567,11.592009,-.089942932
United States,United States,1984,15.374908,-13.710079,11.694504,-.061743498
United States,United States,1985,15.412953,-13.509517,11.783019,-.042577744
United States,United States,1986,15.446804,-13.412847,11.805289,-.030253172
United States,United States,1987,15.481353,-13.440907,11.828138,-.025115967
United States,United States,1988,15.522592,-13.374324,11.844901,-.0092599392
United States,United States,1989,15.556594,-13.183587,11.857764,0
United States,United States,1990,15.57392,-13.288754,11.894263,.0097234249
United States,United States,1991,15.573183,-13.094523,11.927038,.013030291
United States,United States,1992,15.608125,-13.090138,11.922491,.037614346
United States,United States,1993,15.635208,-13.059022,11.887589,.045943022
United States,United States,1994,15.674788,-13.100929,11.88333,.061065435
United States,United States,1995,15.701622,-12.835327,11.963401,.068678856
United States,United States,1996,15.738876,-12.671501,12.037528,.092892408
United States,United States,1997,15.782771,-12.424922,12.108185,.10983586
United States,United States,1998,15.826304,-12.194363,12.169925,.13513446
United States,United States,1999,15.872091,-12.031601,12.240639,.16089725
United States,United States,2000,15.912201,-12.210896,12.311756,.17792082
United States,United States,2001,15.921907,-12.385201,12.299453,.18550539
United States,United States,2002,15.939617,-12.683751,12.243051,.19748521
United States,United States,2003,15.967297,-12.474807,12.258053,.21448994
United States,United States,2004,16.004454,-12.426823,12.267985,.23528028
United States,United States,2005,16.037355,-12.430424,12.318564,.24890518
United States,United States,2006,16.063675,-12.346481,12.379158,.25286388
United States,United States,2007,16.081303,-12.342197,12.436505,.25529623
United States,United States,2008,16.078386,-12.858455,12.4936,.2500515
United States,United States,2009,16.050234,-12.658041,12.457109,.25155354
United States,United States,2010,16.075239,-12.554725,12.432796,.27331567
United States,United States,2011,16.091131,-12.583932,12.46513,.27858281
United States,United States,2012,16.114073,-12.482523,12.474695,.2843504
United States,United States,2013,16.136024,-12.243662,12.524839,.29495883
